branch,macroarea,in_branch_frac,repeat,model,f1
Oceanic,Papunesia,0.0,0,Freq,0.5097885669537979
Oceanic,Papunesia,0.0,0,T-CF,0.27329678935003915
Oceanic,Papunesia,0.0,1,Freq,0.5113547376664056
Oceanic,Papunesia,0.0,1,T-CF,0.29287392325763506
Oceanic,Papunesia,0.0,2,Freq,0.5129209083790133
Oceanic,Papunesia,0.0,2,T-CF,0.2701644479248238
Oceanic,Papunesia,0.01,0,Freq,0.5097885669537979
Oceanic,Papunesia,0.01,0,T-CF,0.3688332028191073
Oceanic,Papunesia,0.01,1,Freq,0.5113547376664056
Oceanic,Papunesia,0.01,1,T-CF,0.3970242756460454
Oceanic,Papunesia,0.01,2,Freq,0.5129209083790133
Oceanic,Papunesia,0.01,2,T-CF,0.3570869224745497
Oceanic,Papunesia,0.05,0,Freq,0.5097885669537979
Oceanic,Papunesia,0.05,0,T-CF,0.5990602975724354
Oceanic,Papunesia,0.05,1,Freq,0.5121378230227095
Oceanic,Papunesia,0.05,1,T-CF,0.5982772122161315
Oceanic,Papunesia,0.05,2,Freq,0.5129209083790133
Oceanic,Papunesia,0.05,2,T-CF,0.6006264682850431
Oceanic,Papunesia,0.1,0,Freq,0.5097885669537979
Oceanic,Papunesia,0.1,0,T-CF,0.6162881754111198
Oceanic,Papunesia,0.1,1,Freq,0.5121378230227095
Oceanic,Papunesia,0.1,1,T-CF,0.6397807361002349
Oceanic,Papunesia,0.1,2,Freq,0.5129209083790133
Oceanic,Papunesia,0.1,2,T-CF,0.6350822239624119
Oceanic,Papunesia,0.2,0,Freq,0.5160532498042286
Oceanic,Papunesia,0.2,0,T-CF,0.6593578700078309
Oceanic,Papunesia,0.2,1,Freq,0.5121378230227095
Oceanic,Papunesia,0.2,1,T-CF,0.6859827721221613
Oceanic,Papunesia,0.2,2,Freq,0.514487079091621
Oceanic,Papunesia,0.2,2,T-CF,0.6562255285826155
