glottocode,family_id,source
abad1241,aust1307,grambank
abar1238,atla1278,grambank
abau1245,sepi1257,grambank
abee1242,atla1278,grambank
aben1249,aust1307,grambank
abip1241,guai1249,grambank
abkh1244,abkh1242,grambank
abua1245,nucl1708,grambank
abui1241,timo1261,grambank
acha1249,sino1245,grambank
acha1250,araw1281,grambank
ache1245,narr1279,grambank
ache1246,tupi1275,grambank
achi1256,maya1287,grambank
achi1257,aust1307,grambank
achu1247,pala1350,grambank
achu1248,jiva1245,grambank
acol1236,nilo1247,grambank
adan1251,timo1261,grambank
adny1235,pama1250,grambank
adon1237,aust1307,grambank
adze1240,aust1307,grambank
aeky1238,kamu1264,grambank
afad1236,afro1255,grambank
afar1241,afro1255,grambank
aghe1239,atla1278,grambank
aghu1254,pama1250,grambank
aghu1255,nucl1709,grambank
aghw1237,nakh1245,grambank
agob1244,paho1240,grambank
agua1253,jiva1245,grambank
agus1235,aust1307,grambank
agut1237,aust1307,grambank
aheu1239,aust1305,grambank
ahin1234,aust1307,grambank
ahom1240,taik1256,grambank
aime1238,bosa1245,grambank
ainu1240,ainu1252,grambank
aito1238,taik1256,grambank
ajab1235,atla1278,grambank
ajas1235,kres1240,grambank
ajie1238,aust1307,grambank
ajyi1238,araw1281,grambank
akab1249,grea1241,grambank
akaj1239,grea1241,grambank
akan1250,atla1278,grambank
akei1237,aust1307,grambank
akha1245,sino1245,grambank
akka1240,afro1255,grambank
akla1241,aust1307,grambank
akoo1248,atla1278,grambank
akun1241,tupi1275,grambank
alab1237,musk1252,grambank
alab1254,afro1255,grambank
alac1244,otom1299,grambank
alag1248,afro1255,grambank
alam1246,sepi1257,grambank
alba1269,aust1307,grambank
aleu1260,eski1264,grambank
alor1247,aust1307,grambank
aluk1238,drav1251,grambank
alya1239,pama1250,grambank
amah1246,pano1259,grambank
amam1246,kuni1270,grambank
amap1240,left1242,grambank
amar1272,aust1307,grambank
amar1274,hara1260,grambank
amas1236,nyim1244,grambank
ambo1250,aust1307,grambank
ambu1247,nduu1242,grambank
amdo1237,sino1245,grambank
amha1245,afro1255,grambank
amii1238,west2434,grambank
amis1246,aust1307,grambank
amri1238,sino1245,grambank
anci1242,indo1319,grambank
anci1244,afro1255,grambank
anei1239,aust1307,grambank
anfi1235,gong1255,grambank
anga1288,sino1245,grambank
anga1290,anga1289,grambank
ango1257,chib1249,grambank
anin1240,gunw1250,grambank
anta1255,aust1307,grambank
anua1242,nilo1247,grambank
anuf1239,atla1278,grambank
anut1237,aust1307,grambank
anuu1241,sino1245,grambank
aona1235,sino1245,grambank
aoua1234,taik1256,grambank
apat1240,sino1245,grambank
apin1244,nucl1710,grambank
apma1240,aust1307,grambank
apma1241,kera1258,grambank
apol1242,araw1281,grambank
apur1254,araw1281,grambank
arab1267,pama1250,grambank
arak1252,aust1307,grambank
aram1253,more1255,grambank
arao1248,pano1259,grambank
arap1274,algi1248,grambank
araw1273,tupi1275,grambank
araw1276,araw1281,grambank
arbo1245,afro1255,grambank
arch1244,nakh1245,grambank
area1240,aust1307,grambank
aree1239,aust1307,grambank
argo1244,afro1255,grambank
arhu1242,chib1249,grambank
arib1241,aust1307,grambank
arig1246,atla1278,grambank
arik1265,nucl1710,grambank
arom1237,indo1319,grambank
arop1242,aust1307,grambank
arop1243,aust1307,grambank
aros1241,aust1307,grambank
arta1239,aust1307,grambank
asha1243,araw1281,grambank
ashe1272,araw1281,grambank
asoa1238,cent2225,grambank
assi1247,siou1252,grambank
asur1254,aust1305,grambank
asut1235,atla1278,grambank
atam1239,pama1250,grambank
atam1240,aust1307,grambank
atay1247,aust1307,grambank
athp1241,sino1245,grambank
atii1237,aust1307,grambank
aton1241,sino1245,grambank
aulu1238,aust1307,grambank
auuu1241,nucl1708,grambank
auye1238,nucl1709,grambank
avac1239,tupi1275,grambank
avat1244,atla1278,grambank
avok1242,cent2225,grambank
awab1243,pama1250,grambank
awac1239,barb1265,grambank
awad1243,indo1319,grambank
awad1244,aust1307,grambank
awap1236,nucl1709,grambank
awar1248,nucl1709,grambank
awar1249,ramu1234,grambank
awet1244,tupi1275,grambank
awji1241,afro1255,grambank
awtu1239,sepi1257,grambank
axam1237,aust1307,grambank
axiy1235,sino1245,grambank
ayac1239,quec1387,grambank
ayiw1239,aust1307,grambank
azha1235,sino1245,grambank
baba1264,atla1278,grambank
baba1266,atla1278,grambank
baba1267,aust1307,grambank
baba1268,aust1307,grambank
babi1235,atha1245,grambank
bada1257,drav1251,grambank
bafa1247,atla1278,grambank
bafi1243,atla1278,grambank
bafu1246,atla1278,grambank
baga1272,atla1278,grambank
baga1273,atla1278,grambank
bagi1246,cent2225,grambank
bagv1239,nakh1245,grambank
baha1259,afro1255,grambank
baha1260,indo1319,grambank
bahi1252,sino1245,grambank
bahn1262,aust1305,grambank
baik1238,aust1307,grambank
baim1244,sino1245,grambank
baka1272,atla1278,grambank
baka1274,cent2225,grambank
baki1244,aust1307,grambank
bala1311,aust1307,grambank
bala1315,aust1307,grambank
bala1316,aust1307,grambank
bali1278,aust1307,grambank
balo1261,atla1278,grambank
balu1257,aust1307,grambank
bamb1262,maoo1243,grambank
bamb1266,atla1278,grambank
bamb1269,mand1469,grambank
bamb1270,aust1307,grambank
bamu1253,atla1278,grambank
bamw1238,atla1278,grambank
bana1288,aust1307,grambank
band1340,atla1278,grambank
band1344,atla1278,grambank
bang1354,atla1278,grambank
bang1369,sino1245,grambank
bani1255,araw1281,grambank
bank1256,atla1278,grambank
bann1247,aust1307,grambank
bant1281,sino1245,grambank
bant1288,aust1307,grambank
bara1357,sino1245,grambank
bara1361,atla1278,grambank
bara1369,aust1307,grambank
bara1370,aust1307,grambank
bara1380,tuca1253,grambank
bard1255,nyul1248,grambank
bare1276,araw1281,grambank
bare1279,afro1255,grambank
barg1252,nucl1709,grambank
bari1286,aust1307,grambank
baro1253,aust1307,grambank
basa1282,atla1278,grambank
basa1287,aust1307,grambank
bash1264,turk1311,grambank
bata1285,atla1278,grambank
bata1289,aust1307,grambank
bata1293,aust1307,grambank
bath1248,afro1255,grambank
bats1242,nakh1245,grambank
batu1257,aust1307,grambank
baur1253,araw1281,grambank
bauz1241,geel1240,grambank
bawm1236,sino1245,grambank
bayb1234,aust1307,grambank
bayo1255,atla1278,grambank
bebe1248,atla1278,grambank
beel1236,afro1255,grambank
beem1239,atla1278,grambank
beja1238,afro1255,grambank
beka1241,aust1307,grambank
bekw1241,atla1278,grambank
bekw1242,atla1278,grambank
bela1254,indo1319,grambank
bela1256,nilo1247,grambank
bela1260,aust1307,grambank
belh1239,sino1245,grambank
beli1257,cent2225,grambank
beli1260,indo1319,grambank
bell1243,sali1255,grambank
belu1239,atla1278,grambank
bemb1257,atla1278,grambank
bena1262,atla1278,grambank
benc1235,gong1255,grambank
beng1282,atla1278,grambank
bent1238,dogo1299,grambank
bera1262,aust1307,grambank
berb1259,indo1319,grambank
berj1234,tung1282,grambank
beta1252,aust1307,grambank
betu1237,drav1251,grambank
bezh1248,nakh1245,grambank
bhoj1244,indo1319,grambank
biaf1240,atla1278,grambank
biak1248,aust1307,grambank
bian1252,kuni1270,grambank
biao1253,taik1256,grambank
biao1254,hmon1336,grambank
biao1256,hmon1336,grambank
biat1246,aust1307,grambank
bidy1244,atla1278,grambank
bier1244,aust1307,grambank
bign1238,aust1307,grambank
biha1246,aust1307,grambank
bila1255,atla1278,grambank
bilb1241,aust1307,grambank
bili1250,pama1250,grambank
bili1260,afro1255,grambank
bimi1240,nucl1709,grambank
bina1277,nucl1709,grambank
bine1240,east2503,grambank
bini1246,atla1278,grambank
binu1244,aust1307,grambank
biri1256,pama1250,grambank
birr1240,cent2225,grambank
bisl1239,indo1319,grambank
bisu1244,sino1245,grambank
bitt1240,aust1305,grambank
biwa1243,yuat1252,grambank
blab1237,aust1307,grambank
blan1242,aust1305,grambank
bobo1255,aust1307,grambank
bodo1267,aust1305,grambank
bodo1269,sino1245,grambank
bodo1272,atla1278,grambank
boht1238,afro1255,grambank
boka1249,sino1245,grambank
bola1250,aust1307,grambank
bolg1251,atla1278,grambank
boli1256,aust1307,grambank
bolo1262,atla1278,grambank
boly1239,aust1305,grambank
bomb1262,atla1278,grambank
bomk1234,atla1278,grambank
bona1250,mong1349,grambank
bond1245,aust1305,grambank
bond1247,atla1278,grambank
bong1284,atla1278,grambank
bong1285,cent2225,grambank
bong1289,aust1307,grambank
bora1263,bora1262,grambank
bora1271,afro1255,grambank
bord1248,chib1249,grambank
bori1243,sino1245,grambank
boro1277,gong1255,grambank
boro1282,boro1281,grambank
boru1252,chib1249,grambank
boto1242,aust1307,grambank
boun1243,atla1278,grambank
boun1245,nucl1709,grambank
bouy1240,taik1256,grambank
brah1256,drav1251,grambank
bret1244,indo1319,grambank
brib1243,chib1249,grambank
bube1242,atla1278,grambank
bubi1250,atla1278,grambank
budu1248,nakh1245,grambank
budu1265,afro1255,grambank
budz1238,atla1278,grambank
buga1247,aust1305,grambank
buga1250,aust1307,grambank
bugh1239,aust1307,grambank
bugi1244,aust1307,grambank
bugl1243,chib1249,grambank
bugu1246,sino1245,grambank
buhu1237,aust1307,grambank
bujh1238,sino1245,grambank
buka1257,aust1307,grambank
buki1249,nucl1708,grambank
buku1249,atla1278,grambank
bula1255,pama1250,grambank
